edad,educ,wage
78,2,1571.7054242680401
57,10,1893.180706463992
71,6,2258.341786151609
41,7,2794.6897457090568
71,13,2145.3146942779463
41,3,1805.3919391866425
63,3,1809.0094935843763
26,4,3229.3275634139763
71,14,2460.9617005772766
28,14,2848.7276166136953
22,1,4358.726031024926
21,5,1459.5995457520996
66,2,1683.6399045972257
77,7,2041.533405594717
19,6,2203.2282886052426
50,13,3325.41725786792
27,3,1822.2106767930463
70,4,1883.2735254753738
76,1,1880.3972931894773
39,4,2174.630129621916
62,6,2214.7130759635197
30,4,2395.3286168508594
64,6,2849.275942893258
79,4,3039.023056267664
69,3,2286.07614064819
27,6,1638.5310126749578
69,4,2263.0836895949346
49,11,2880.5908471335442
77,13,2745.738340299358
65,13,2656.2839307477184
20,10,2072.7364468731066
54,12,2918.3484430863564
64,14,2211.638222081363
38,2,2671.623915898519
56,1,2098.670130459664
20,2,3322.431018320023
28,8,2486.565124666788
63,13,2278.5982078672255
47,3,2679.920663743279
30,11,1779.9141794166803
61,5,1809.3473233252103
49,4,2313.24723617862
50,6,2266.0655944543196
19,4,3190.4733965332025
28,14,2492.91317775082
27,2,2422.4804264399854
58,8,3008.9073021905556
27,3,3414.081833311444
77,9,2176.239472561524
68,7,2970.10440526116
38,7,1283.1330524090565
65,8,2310.4643390114597
23,4,2123.6644784769537
21,2,2905.556091381056
45,7,2876.5744140285283
20,8,3702.5362029398457
22,7,2576.634174336407
54,8,1787.7541353924034
78,3,1862.049039133671
50,8,1178.035370636951
67,3,1981.636610554493
25,12,2611.2879375282496
70,6,2218.5142241589156
70,13,2515.332282401603
39,12,2060.742811385383
65,3,3351.3362644898443
76,2,2029.2120069293792
40,2,3333.1982848487523
27,5,3094.3702646423862
40,11,2175.269787284329
71,5,3668.1900595576653
41,9,2580.753214725904
57,7,2787.2507775072595
73,11,2519.3534784822946
53,11,1470.6837032370188
54,5,3336.85110116198
29,12,3028.6627658555717
61,10,2323.745270045959
26,7,1409.13468625394
73,2,2111.6777021889293
24,11,3342.224212602558
58,8,2333.2787715317163
19,5,3002.6039589543393
26,12,2882.480819496764
63,7,2245.2031352738327
37,9,1584.8050471387005
30,4,3039.6210147902975
62,5,2156.2631867700775
37,14,2670.7153137439304
61,1,2285.308626521151
23,3,2029.490541061839
69,3,3186.6991169309035
56,11,2791.294042825731
38,9,2459.642025556981
54,11,4075.862862753209
33,12,2820.859369432258
24,8,1968.158323666163
58,1,2466.646992820606
59,4,1851.9513062586711
43,5,2534.9323772702687
58,12,2605.613268232573
22,14,2983.114448775147
51,1,2197.2239000819823
61,5,2305.8851115047382
52,9,2148.1884938513035
28,12,3364.677348924231
35,1,2271.294208553936
68,14,4043.9721089182285
49,3,2099.120459875446
41,8,3046.2363719188747
31,6,2213.537684999416
30,2,2686.508045830293
59,6,3145.973519139408
51,11,3283.797261618129
55,3,2682.4476951414836
37,10,2353.655049869661
23,9,2751.531714953522
75,10,2083.6945479718233
35,14,2141.930520477127
51,10,2529.096128882982
45,12,1496.7350728586189
25,3,3638.0961189675063
39,0,2969.4235656337482
78,12,2443.9626591152078
27,2,2764.639563165943
58,3,3421.3277426799154
26,4,1634.900408111369
70,12,2743.329556211965
37,4,2893.7328808590846
69,12,1889.7940007927004
26,8,2415.519736351377
31,14,2802.3737151441364
69,4,1677.3576615485354
19,1,2308.400134544287
46,2,2738.01770553372
56,8,1962.1217627710698
56,6,2393.1647833337524
66,3,2832.6538052570622
28,11,1265.6509908691107
73,3,2812.319317109085
26,14,1471.4394500441613
46,4,2017.941388020031
67,5,2242.650328882597
29,14,3215.757978696068
27,11,2976.790933352088
40,1,2477.8652153568282
56,13,2216.192510882297
26,9,2381.4183822859695
54,14,2541.0074529285525
63,11,2289.2796632311897
47,11,2605.6832788616307
19,2,2328.9864002820386
32,5,1675.8250763963088
71,5,1770.9807358783705
63,5,2967.9535026366275
55,5,2702.7019918229284
44,7,2597.0086719743595
49,8,2543.474921890046
57,13,2554.7791330690316
52,6,1916.678356298944
46,5,2883.7852352349646
73,7,2674.029485871782
26,14,3295.960918744716
24,5,2292.867106169074
39,3,2832.3271460791443
21,4,1955.4323443768578
43,13,2666.3264998287445
73,4,1563.2529906173554
78,9,2003.8235815016785
55,0,3052.0975714559772
44,1,1953.6901968354482
68,4,2151.3623380829486
36,8,2919.004774063193
75,12,2786.079771277286
77,12,3086.8288453791683
22,13,2023.5616115648065
66,7,2283.7141836878222
62,8,2068.24184853115
31,10,1284.3156160888952
29,6,2332.3145452361614
76,2,2490.946769967956
30,11,2198.8948454851447
42,1,2475.598599049758
40,10,2916.8662093984417
40,8,1909.806028870102
43,5,2384.6539864930915
72,13,2799.55879303621
74,5,3055.548621853982
55,11,3568.8047595523467
73,10,3029.043881646723
57,4,2586.096854963554
47,7,2455.044994857156
75,8,2461.3859191473425
69,14,1999.38829836305
76,3,2231.086886811317
26,3,2154.2453022478726
29,12,1304.6083563371099
66,5,2351.5420750776775
74,12,2304.630022936323
71,1,3208.4353137921935
51,13,2867.278185624623
45,11,1668.9802088136703
28,3,2537.145402584429
76,4,2425.503193256136
52,7,1473.43837654351
22,6,2023.8970342468235
48,14,3616.264403762498
77,4,1956.9651163040262
76,12,1112.0375935891066
24,2,2280.0361076948293
59,11,2232.63612090379
24,10,1337.7152560569025
70,3,1973.603962861817
40,1,2673.0529368262946
61,11,2655.1358883546964
28,7,2860.2602691583124
47,10,2440.897105950551
59,12,1633.5985606277568
43,7,2054.22143504918
55,3,1282.8504624800112
65,0,2621.1625831624
21,2,1792.3463976878534
79,13,2700.0006455124803
47,6,2919.5356463520275
54,14,2334.609537712931
37,11,2556.2203813282576
22,0,2354.193103525123
65,6,2393.6484645772402
34,3,2280.1255546525895
75,1,3408.156641453993
69,4,2527.0675864640275
18,3,3123.2888605181843
36,5,1424.374479794846
67,2,1870.1674764337813
51,8,1770.4081014889152
69,1,2200.822100346825
39,11,2900.815124779919
32,6,2942.234561452195
54,5,1786.3334607369065
56,12,2924.4777213674442
66,11,3030.554010093828
79,3,2491.221739222909
76,11,3527.2230614914106
54,14,3262.8031765332366
38,1,2709.36152549736
69,12,2555.2683836301057
65,11,2446.3538081791344
24,0,3123.9429193626547
63,9,1260.4256216872568
58,12,3354.325726646098
73,0,1274.7703355659867
32,11,3262.0782916653466
52,0,938.1274812924232
57,11,2250.5699115115763
32,6,2518.4556977076763
79,9,1957.6740737034277
35,4,2286.173658375841
77,12,1691.1551930095243
40,14,2122.4979206768835
78,13,703.0129635267335
41,8,2810.9367387926036
21,14,2724.143180298671
44,8,2874.1749091315733
51,14,2428.999622184258
20,3,1848.4175612150545
73,9,1893.4924903815486
79,4,2639.7368638360863
77,11,2657.442158592255
62,13,2500.578397620135
21,2,3404.692439143626
71,13,1913.3914820759867
42,11,2669.555081734653
48,11,1893.2761931031841
52,0,2516.1798060959545
55,4,2781.2363197795617
43,10,2826.7843520025094
19,3,2714.2087998935613
46,7,1946.922949170415
72,8,2856.915732223356
73,7,1983.4831822277988
74,7,2094.7978906612325
30,12,2847.8484008483956
61,2,3030.9309745534615
40,6,1909.6064079641571
64,1,1819.7365396292657
58,0,2998.9728664656313
42,10,2713.7150811315028
72,0,2833.6248957562857
44,5,1203.433007583738
22,1,3292.5582412007384
70,3,2712.5027851951386
72,1,2516.9350026696648
67,1,2072.1693085088323
35,0,2948.5182814432333
56,11,2819.431260323753
51,11,2445.996382254103
40,0,2531.6972556279507
29,1,2451.6619386877865
57,5,3284.2344966685846
67,7,2124.3540809122833
66,8,2332.1313130109343
64,11,3050.7811419493446
30,5,3211.2705114879236
53,0,2661.6458374164968
73,8,1963.5492511264258
40,5,2161.6946386416435
29,12,2744.4639056307838
50,11,2073.025176956508
73,1,2336.5844381751403
68,11,1867.3004427686872
49,1,2562.10977360315
74,2,2678.654069754416
68,12,2264.9713382723467
60,3,2359.4540301140364
53,1,2129.897581926323
51,2,2123.051146268831
75,5,2172.5592938910113
45,2,2684.191785955198
32,6,3466.1201710707264
27,2,3088.673177202335
65,1,2720.327867565284
30,11,2420.7417653341045
34,10,2725.868973629416
23,12,3478.956449678505
73,4,1841.7929713431636
28,3,1761.3510240652229
63,7,2765.4651427746353
26,7,1622.484676771834
64,8,2192.137083388657
53,5,3456.5819286616525
73,1,2522.9689236326817
54,8,1936.494302063485
63,10,1902.0058531248028
24,2,2469.986827079334
44,7,1621.1604519795692
67,7,2894.3642271631447
41,3,2372.643834704368
63,10,2153.054602979666
35,6,3015.18741624663
24,3,1230.301956639179
53,4,3039.7664549384103
18,8,2293.27809393034
52,13,3085.8249360415343
38,4,2264.378544241592
36,10,2791.141994968138
28,7,2583.2366897376646
48,12,2210.126361992292
77,0,2750.834220908709
39,3,2287.502325952809
48,6,3080.0011800933144
46,2,3007.0664323634346
45,11,2688.9716702813116
57,5,1365.414652318366
55,0,2587.0621455701753
75,5,1139.4237444068556
54,12,2450.1568953003334
43,3,2088.435560186489
61,6,3406.403542607488
58,8,1557.0669718202716
36,1,2915.8854470484184
79,11,1933.8968295405093
33,7,2465.72749400523
29,10,2334.9368851135523
61,9,2420.948091744179
61,3,3196.2344362306067
20,3,2825.4273019160014
43,12,2373.6208328686876
29,2,1285.983461724056
71,2,1415.1605858261828
77,7,2331.0777590643997
18,9,2611.854077613396
39,13,2143.46465023082
28,12,2046.2054868285481
79,2,3076.1447941904557
63,13,1802.3466552830678
51,7,2561.156694012111
58,4,2439.8970510376575
64,4,1532.965645728009
55,9,2280.5196009876577
66,4,2166.0965039087264
63,6,1434.9931679892702
19,0,1915.7057345341473
62,2,2387.997727575126
35,8,2817.5534055131075
41,7,1783.6620776636046
20,9,3307.0416722206924
65,11,2413.6376391413523
35,2,2216.919833112371
72,10,2989.5787133415006
70,8,2116.0538902400654
18,2,2316.9591832564333
61,0,3441.1528344906883
40,8,2560.9990714088617
61,14,3211.6822195449804
37,14,2435.625013708775
53,9,3067.739017354209
34,9,1998.5706927379117
59,0,3392.2792968954436
20,12,2276.606531084221
60,11,2036.901302910766
78,12,2322.748152280924
48,6,2695.2111402916403
66,12,2593.623910541084
46,2,2189.7922835856484
52,1,3407.3449326680598
77,2,2189.184210811599
49,10,1450.1698384294073
76,8,2891.047098145004
58,8,2048.145465515584
74,8,2662.7191374173567
40,12,2679.506213657637
23,10,3025.744994090217
50,3,3082.9173325050215
55,10,2027.7653810867007
47,4,1810.4814301204078
30,4,2052.080636884191
79,2,3129.237835838538
50,14,1306.9885784355363
46,13,2996.9573574527894
18,11,1994.5653602286793
69,11,3241.1034154986987
71,5,2699.9152056926587
28,0,3621.6195130945853
40,0,3790.30706580288
25,10,2153.483008865405
68,14,2616.676805682985
77,4,1244.2990235299221
64,14,3238.189918482155
54,2,1743.0614422243198
58,4,2414.0913194307604
32,8,2740.1387985783526
25,14,3364.1996993871226
62,10,2619.848834121323
36,3,1569.4509522074359
32,4,3414.9480365839313
75,12,2910.1410506756206
63,12,3046.078079135522
46,6,2875.3230211227888
39,5,2284.191167287057
78,4,3109.154280636414
56,0,2610.8874218200976
29,7,1446.2579463491384
76,12,3350.5842480902675
69,0,2489.711420557707
68,12,1562.2774327464388
30,13,3135.774389744318
21,6,2287.7956156374316
55,3,2452.9139089413084
69,7,2113.7729758450428
37,13,2506.2150139219175
72,11,2467.1769101938353
58,13,3125.6390340237285
42,12,1676.5177479660538
38,7,2872.803911332092
48,9,3380.7713660642003
48,10,2727.6446870498226
78,4,2937.1015979516364
34,10,3634.9518009729827
45,6,2949.24830558886
67,0,2747.0791427051254
60,1,2345.59324700698
39,8,3016.544275107082
68,12,2073.208150863783
61,7,1579.656362208097
27,3,2708.6750435294875
36,9,3772.7044951163043
25,2,3802.8566470362694
33,5,3255.916177478531
28,8,2073.3304494738886
67,4,2295.3273349979067
44,2,2727.0545119550834
42,3,2245.9532218460395
53,8,2671.900431651371
67,7,2997.367951477749
37,4,2750.3271207237804
36,3,2014.327898183731
37,7,2347.70342383121
44,11,2322.6030643174436
25,9,2068.6354009851148
77,8,2370.5233076869217
74,6,3509.3181406799413
62,11,1761.724080107599
64,9,1795.091838247722
21,5,3641.24050902587
75,1,1443.4469150744706
45,13,2085.8667948128546
23,12,2759.041500319599
51,12,2780.198694812469
46,14,2023.7441273192662
52,0,2719.3230446648954
78,10,2436.8275648420504
66,14,2742.4321169446434
20,2,2467.635912053804
61,10,3062.7915276762237
35,2,1803.9470231253813
23,3,2433.9510789118235
60,0,2829.438830693872
48,6,2318.558082223821
40,8,4279.454115308252
55,11,1925.2789322272138
32,9,2527.148397199399
52,7,3168.5341121501096
62,9,2570.4571433913957
29,9,2333.816230741044
56,7,2945.3833081144403
69,13,1429.984720022982
72,4,1963.4948820530265
74,5,2320.658413543882
56,9,3480.7676260531944
48,4,2742.2320767973883
21,8,3074.1654619539045
53,2,2070.588121045233
66,12,2882.171913588865
31,1,2804.5836930776504
24,5,2157.5183035486516
63,14,2483.1827051895466
70,2,2952.0871073222543
58,13,2672.2624646776535
38,2,3294.0429487468236
27,14,2803.218491721579
67,13,1697.918899478288
21,8,3099.967945228903
59,14,1511.9800814775213
47,7,2395.8509129048
79,13,1184.3557284127426
40,0,1923.8258906045185
24,4,2469.7454978219157
43,10,2059.9170506813125
24,3,2196.058624931637
56,1,1312.1244996965497
62,2,1844.9817024378267
37,6,2400.1905209578695
49,3,2897.7145922274076
45,0,1533.2259599514273
63,7,2399.1240367733662
38,13,2437.4149268371143
76,7,3015.547160072499
61,9,2055.5663910441394
55,12,2374.5619975307245
20,7,1877.877452132027
57,7,2537.3825455132196
77,9,3499.103178038338
25,13,1611.4043055915768
68,3,2651.5289641931445
18,13,2562.590104492105
18,1,2750.773676177708
38,3,2063.4974730570275
37,5,3491.600663808631
25,5,1864.1182483650557
52,8,1194.6759746465025
63,12,2605.2679691371663
31,4,2442.4565065467827
56,3,1844.7773989962022
24,13,1867.9804897220467
21,6,2311.493332012377
58,13,2068.119876006891
27,6,1941.2882411239698
21,8,2510.829819349058
31,11,2357.34039564853
53,11,2913.898498390463
59,4,2933.2998465635014
21,5,2372.5990639769407
61,1,1756.5251462022327
56,6,3002.273534831761
68,5,2314.0946331349687
60,12,1731.6697735701605
72,2,2938.6681673815137
47,6,2168.654514676195
77,7,2045.4350242629716
57,9,2510.497044582695
32,5,2879.343352706638
53,11,3409.39502220426
75,12,2570.197919873384
65,0,2828.681082299855
45,14,1569.573871867297
65,7,2272.0344350322644
19,12,1763.9474114668012
72,9,3531.0267477040634
66,6,3466.844482183111
20,3,2809.16176686247
37,7,2384.1580363801872
57,7,3210.739982429191
73,12,1612.0937658478642
35,1,1505.8917425095124
34,13,1976.9998908152238
26,5,2792.7079635412965
27,6,2291.195385505024
65,10,2817.1766949745083
45,7,1604.9716009321858
21,9,2777.640678626471
59,6,2878.137907840299
76,8,1427.231888754613
34,6,2798.896756491768
63,12,2559.0674847235423
20,3,2220.433698514171
28,13,2394.0454756766435
72,14,3141.379642219614
20,14,3140.901025768502
20,7,2075.708993501046
61,4,1995.8661446050705
48,2,2875.528722021292
62,9,1774.125894429074
24,5,1853.3431714899557
50,13,2973.854759741514
52,8,3035.0113169406563
60,3,1743.4507245726595
33,7,2005.6041455817171
39,12,2638.0873722548195
25,2,2689.3754237160533
57,2,1639.6963965520767
74,7,3192.2878786234005
57,6,1792.1998070978525
22,4,2586.6502120822756
64,10,2436.6538776706234
71,2,2207.951921913535
28,14,2101.282962145949
71,12,2723.439484856154
21,13,2823.740585226898
39,11,2286.3042169641044
63,2,2651.418194829407
56,13,3550.932051755468
40,2,2618.4937022491613
43,0,3472.178325618146
59,12,2762.5985251557904
43,3,1860.9082559935978
20,5,2522.2993219716486
38,0,2413.24197237902
20,8,2321.800653458708
77,7,3714.9949271525675
29,3,3147.2454261455027
77,7,1909.0324607748294
30,7,2641.7363545449875
32,5,3397.082639309856
43,3,2051.1506865097117
26,6,2847.1028146781377
64,12,1899.6104133586093
78,2,3098.4286752802436
50,1,1363.8173394304622
75,3,2196.6979482374363
49,10,1734.9847257346628
73,9,1187.257193552166
25,7,1481.0644811501752
33,9,2209.573787996862
54,8,1487.6341639815128
51,6,1842.4856468837224
26,4,2117.9345158441115
58,12,2542.989024940621
39,1,3035.449409876394
46,14,3260.566708845068
51,13,2603.799626159139
37,4,1681.178205863717
19,9,2711.4529091716445
35,14,2171.424465525708
43,8,2250.2889766359763
37,5,2850.815725545075
55,12,2192.7783980955105
29,7,2568.250216735906
35,2,2137.7803936726464
25,10,1933.928497463944
77,13,2747.618242838928
57,8,2026.5440113661593
36,12,2191.4696219171483
72,10,2699.2000445127605
76,3,1881.7526533363548
78,2,2794.7441526999346
61,3,2298.227527889644
45,6,1905.4147638814104
33,12,2635.752415849057
78,7,2541.2437242839464
31,8,2794.9347179601396
29,3,1945.3070722766417
68,13,2841.7417935481385
49,10,2182.5565411440493
33,12,2158.063576530323
71,1,2255.010670954272
37,5,3474.1513592485535
42,8,2434.3658733754364
44,10,1600.7564727674949
47,7,2208.338851049477
32,4,3685.4703245038545
27,10,3713.625805287819
57,7,3005.1971726743545
58,12,2919.6418895142624
47,11,2528.540105503445
29,3,2085.152766114736
77,1,3569.161088832948
57,14,2957.9720690685153
33,10,1956.2053631716824
19,11,3301.349375201288
26,13,2823.001535319298
40,0,1890.8244242449005
72,12,1979.4070947768682
33,3,2998.8761002799424
41,6,2192.3367668983537
60,2,3046.193916806288
33,5,2165.887715628523
59,6,2534.3669180360494
36,9,2373.8702428559927
77,9,2435.968422200332
55,14,1899.1869937088545
69,2,2187.117420861739
61,13,2045.2712616361298
27,8,3237.6482984218133
31,13,3499.6345313181355
65,12,3799.256351823328
27,10,933.6488742412985
45,13,1843.8233904800177
68,7,1549.5716562931882
37,6,1854.5745947618698
22,4,2713.314813497839
79,9,2429.2079221776908
38,8,2752.284719118956
55,4,2034.682971960837
51,1,2492.6093265695254
27,0,2271.0108720109647
48,13,3051.562645370681
72,9,1726.6555650907544
64,3,1825.1198215438255
61,11,3099.3983812261836
75,4,1916.4198502755225
66,1,3145.3146818912246
27,6,2966.390901917444
75,7,2858.5811303711876
50,0,2674.510997614547
18,9,2493.801794118176
78,7,2682.9744562139194
53,12,2269.793655955605
21,9,2050.6349732730932
42,12,2610.3823508375426
69,7,2737.736703889015
76,12,2851.942494727462
56,13,1330.15684271019
58,11,2549.7682274595213
64,14,1865.1395750753718
37,14,1997.118447322162
22,12,2839.193023749498
71,2,2776.727833152382
67,11,3271.040424735303
35,11,1779.9448742335849
38,5,2640.5458512399073
34,8,2183.6283357582133
30,6,2347.300805620054
60,3,3159.679759999275
23,9,2217.3263564625204
27,9,2610.930865904594
70,12,1531.2408599811279
22,2,2921.4908492427858
76,12,3097.5846451029033
37,3,2339.015210021782
38,2,1724.7733699589594
78,0,3153.1333079525757
35,8,2103.7084268186954
50,4,1994.7397111725238
64,10,2503.0407400944164
67,11,2421.1379401324866
53,6,2693.542624281063
38,0,2644.2347467320346
77,9,2324.0628005026583
63,7,1741.8556160275095
68,6,2553.48201553393
45,5,1878.9387081188338
41,11,2025.4710088792178
26,10,2387.1262840498025
78,10,1249.8505692521594
24,1,2764.94553068163
51,14,1482.623806681836
36,3,2556.7047994718337
57,1,3717.01921987501
43,13,2186.809494966622
65,2,2997.622622140824
53,2,2854.667146395664
63,6,2091.4273029453257
79,14,2121.3760469356303
58,5,3298.8711490931564
52,1,2947.904978030718
50,11,3142.69308975983
53,2,2603.652272994974
25,3,2812.0910748295482
63,3,2703.7471560941094
65,8,2930.226900139585
27,3,2998.6664649177997
50,5,2600.46830123781
77,0,2498.9658538253657
72,3,2857.778590030046
18,0,2701.531841353495
42,7,1677.0079532845805
33,6,2683.7917551847922
46,8,2437.3926764218263
75,2,2477.26443921023
55,5,2159.0306123730106
46,1,2447.1986478601875
51,9,3013.3219334604987
75,10,3287.1962153658465
42,7,3231.7660004365594
32,1,1961.0902254264759
73,11,2250.9535668215017
32,10,2230.4459204357386
53,9,2734.9657681220306
51,6,2822.1820293832207
51,6,1719.6470398056772
49,1,3681.5760054640823
71,0,3000.7722152588894
54,8,2075.6156787633226
55,8,1673.2577610073374
60,1,2202.2437715729334
29,4,2189.2744120310967
46,14,3108.8289695410235
18,9,3334.864197988289
31,8,1748.1363521212932
74,7,1830.7235825195867
63,1,4106.647412135581
22,2,2293.2638592350295
51,1,1727.2959570911594
48,13,1205.9428820165626
61,3,2442.6476970032654
78,0,2497.215876113479
44,5,1485.3209747040714
65,0,3225.1546128185432
75,8,1652.1859223123156
69,8,2145.8890745614326
25,10,2030.2088118089705
56,7,3225.895082598437
43,4,3118.396719932661
79,11,2545.8212707786574
23,4,2955.019998201799
75,8,2935.7255529840068
22,13,1554.84447931058
25,4,2996.7067728956795
78,7,1471.676914513669
